time,type,estimate,num_kwh,kwh_price_no_vat,vat_percent,amount_with_vat
2016-11-20T02:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-20T02:00:00+00:00,consumption,False,3.000,0.291,25,0.874,1.092
2016-11-20T03:00:00+00:00,elcert,False,2.000,0.020,25,0.040,0.050
2016-11-20T03:00:00+00:00,consumption,False,2.000,0.294,25,0.588,0.735
2016-11-20T04:00:00+00:00,consumption,False,5.000,0.298,25,1.488,1.860
2016-11-20T04:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-20T05:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-20T05:00:00+00:00,consumption,False,3.000,0.309,25,0.926,1.158
2016-11-20T06:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-20T06:00:00+00:00,consumption,False,3.000,0.321,25,0.962,1.203
2016-11-20T07:00:00+00:00,consumption,False,3.000,0.333,25,0.998,1.248
2016-11-20T07:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-20T08:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-20T08:00:00+00:00,consumption,False,4.000,0.341,25,1.363,1.703
2016-11-20T09:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-20T09:00:00+00:00,consumption,False,3.000,0.349,25,1.046,1.307
2016-11-20T10:00:00+00:00,consumption,False,6.000,0.350,25,2.099,2.624
2016-11-20T10:00:00+00:00,elcert,False,6.000,0.020,25,0.120,0.150
2016-11-20T11:00:00+00:00,consumption,False,4.000,0.345,25,1.381,1.726
2016-11-20T11:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-20T12:00:00+00:00,consumption,False,5.000,0.341,25,1.703,2.128
2016-11-20T12:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-20T13:00:00+00:00,consumption,False,4.000,0.337,25,1.347,1.683
2016-11-20T13:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-20T14:00:00+00:00,consumption,False,4.000,0.348,25,1.392,1.740
2016-11-20T14:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-20T15:00:00+00:00,consumption,False,3.000,0.357,25,1.071,1.339
2016-11-20T15:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-20T16:00:00+00:00,consumption,False,3.000,0.358,25,1.073,1.342
2016-11-20T16:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-20T17:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-20T17:00:00+00:00,consumption,False,3.000,0.351,25,1.053,1.317
2016-11-20T18:00:00+00:00,consumption,False,4.000,0.338,25,1.352,1.690
2016-11-20T18:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-20T19:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-20T19:00:00+00:00,consumption,False,5.000,0.329,25,1.644,2.055
2016-11-20T20:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-20T20:00:00+00:00,consumption,False,3.000,0.318,25,0.954,1.193
2016-11-20T21:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-20T21:00:00+00:00,consumption,False,4.000,0.307,25,1.228,1.535
2016-11-20T22:00:00+00:00,consumption,False,4.000,0.303,25,1.213,1.516
2016-11-20T22:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-20T23:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-20T23:00:00+00:00,consumption,False,4.000,0.305,25,1.219,1.524
2016-11-21T00:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-21T00:00:00+00:00,consumption,False,3.000,0.301,25,0.904,1.130
2016-11-21T01:00:00+00:00,elcert,False,2.000,0.020,25,0.040,0.050
2016-11-21T01:00:00+00:00,consumption,False,2.000,0.301,25,0.602,0.752
2016-11-21T02:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-21T02:00:00+00:00,consumption,False,3.000,0.297,25,0.891,1.113
2016-11-21T03:00:00+00:00,elcert,False,2.000,0.020,25,0.040,0.050
2016-11-21T03:00:00+00:00,consumption,False,2.000,0.296,25,0.591,0.739
2016-11-21T04:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-21T04:00:00+00:00,consumption,False,3.000,0.313,25,0.938,1.173
2016-11-21T05:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-21T05:00:00+00:00,consumption,False,4.000,0.339,25,1.357,1.696
2016-11-21T06:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-21T06:00:00+00:00,consumption,False,3.000,0.349,25,1.047,1.309
2016-11-21T07:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-21T07:00:00+00:00,consumption,False,4.000,0.358,25,1.432,1.789
2016-11-21T08:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-21T08:00:00+00:00,consumption,False,4.000,0.370,25,1.481,1.851
2016-11-21T09:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-21T09:00:00+00:00,consumption,False,3.000,0.365,25,1.094,1.367
2016-11-21T10:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-21T10:00:00+00:00,consumption,False,3.000,0.363,25,1.089,1.361
2016-11-21T11:00:00+00:00,consumption,False,2.000,0.363,25,0.726,0.908
2016-11-21T11:00:00+00:00,elcert,False,2.000,0.020,25,0.040,0.050
2016-11-21T12:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-21T12:00:00+00:00,consumption,False,3.000,0.362,25,1.087,1.359
2016-11-21T13:00:00+00:00,consumption,False,3.000,0.363,25,1.088,1.360
2016-11-21T13:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-21T14:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-21T14:00:00+00:00,consumption,False,3.000,0.357,25,1.072,1.340
2016-11-21T15:00:00+00:00,consumption,False,5.000,0.362,25,1.809,2.262
2016-11-21T15:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-21T16:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-21T16:00:00+00:00,consumption,False,5.000,0.364,25,1.822,2.278
2016-11-21T17:00:00+00:00,consumption,False,4.000,0.351,25,1.406,1.757
2016-11-21T17:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-21T18:00:00+00:00,consumption,False,5.000,0.344,25,1.721,2.152
2016-11-21T18:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-21T19:00:00+00:00,consumption,False,6.000,0.341,25,2.049,2.561
2016-11-21T19:00:00+00:00,elcert,False,6.000,0.020,25,0.120,0.150
2016-11-21T20:00:00+00:00,consumption,False,5.000,0.329,25,1.645,2.056
2016-11-21T20:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-21T21:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-21T21:00:00+00:00,consumption,False,4.000,0.317,25,1.267,1.583
2016-11-21T22:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-21T22:00:00+00:00,consumption,False,5.000,0.301,25,1.506,1.882
2016-11-21T23:00:00+00:00,elcert,False,6.000,0.020,25,0.120,0.150
2016-11-21T23:00:00+00:00,consumption,False,6.000,0.299,25,1.796,2.245
2016-11-22T00:00:00+00:00,consumption,False,5.000,0.293,25,1.465,1.831
2016-11-22T00:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-22T01:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-22T01:00:00+00:00,consumption,False,3.000,0.290,25,0.871,1.089
2016-11-22T02:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-22T02:00:00+00:00,consumption,False,3.000,0.290,25,0.871,1.088
2016-11-22T03:00:00+00:00,elcert,False,2.000,0.020,25,0.040,0.050
2016-11-22T03:00:00+00:00,consumption,False,2.000,0.298,25,0.597,0.746
2016-11-22T04:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-22T04:00:00+00:00,consumption,False,3.000,0.319,25,0.957,1.197
2016-11-22T05:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-22T05:00:00+00:00,consumption,False,3.000,0.336,25,1.009,1.261
2016-11-22T06:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-22T06:00:00+00:00,consumption,False,5.000,0.343,25,1.717,2.147
2016-11-22T07:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-22T07:00:00+00:00,consumption,False,3.000,0.349,25,1.048,1.310
2016-11-22T08:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-22T08:00:00+00:00,consumption,False,3.000,0.347,25,1.041,1.301
2016-11-22T09:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-22T09:00:00+00:00,consumption,False,3.000,0.346,25,1.039,1.299
2016-11-22T10:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-22T10:00:00+00:00,consumption,False,3.000,0.344,25,1.031,1.289
2016-11-22T11:00:00+00:00,elcert,False,5.000,0.020,25,0.100,0.125
2016-11-22T11:00:00+00:00,consumption,False,5.000,0.341,25,1.707,2.134
2016-11-22T12:00:00+00:00,consumption,False,3.000,0.341,25,1.023,1.279
2016-11-22T12:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-22T13:00:00+00:00,consumption,False,3.000,0.350,25,1.049,1.311
2016-11-22T13:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-22T14:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-22T14:00:00+00:00,consumption,False,3.000,0.350,25,1.050,1.312
2016-11-22T15:00:00+00:00,consumption,False,7.000,0.351,25,2.460,3.075
2016-11-22T15:00:00+00:00,elcert,False,7.000,0.020,25,0.140,0.175
2016-11-22T16:00:00+00:00,elcert,False,7.000,0.020,25,0.140,0.175
2016-11-22T16:00:00+00:00,consumption,False,7.000,0.354,25,2.475,3.093
2016-11-22T17:00:00+00:00,consumption,False,6.000,0.349,25,2.097,2.621
2016-11-22T17:00:00+00:00,elcert,False,6.000,0.020,25,0.120,0.150
2016-11-22T18:00:00+00:00,elcert,False,6.000,0.020,25,0.120,0.150
2016-11-22T18:00:00+00:00,consumption,False,6.000,0.342,25,2.054,2.567
2016-11-22T19:00:00+00:00,consumption,False,4.000,0.340,25,1.360,1.700
2016-11-22T19:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-22T20:00:00+00:00,elcert,False,4.000,0.020,25,0.080,0.100
2016-11-22T20:00:00+00:00,consumption,False,4.000,0.336,25,1.345,1.681
2016-11-22T21:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
2016-11-22T21:00:00+00:00,consumption,False,3.000,0.330,25,0.989,1.236
2016-11-22T22:00:00+00:00,elcert,False,3.000,0.020,25,0.060,0.075
